"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Wolfgang Ketterle","1957-10-21",NULL,"West Germany (now Germany)","DE",NULL,NULL,"male",2001,"Physics","""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",44,"Massachusetts Institute of Technology (MIT)"
"Arthur L. Schawlow","1921-05-05","1999-04-28","USA","US","USA","US","male",1981,"Physics","""for their contribution to the development of laser spectroscopy""","Stanford University","Stanford CA","USA",60,"Stanford University"
"Christiane Nüsslein-Volhard","1942-10-20",NULL,"Germany","DE",NULL,NULL,"female",1995,"Medicine","""for their discoveries concerning the genetic control of early embryonic development""","Max-Planck-Institut für Entwicklungsbiologie","Tübingen","Germany",53,"Max Planck Society"
"Fritz Haber","1868-12-09","1934-01-29","Prussia (now Poland)","PL","Switzerland","CH","male",1918,"Chemistry","""for the synthesis of ammonia from its elements""","Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie","Berlin-Dahlem","Germany",50,"Max Planck Society"
"Robert Wilson","1937-05-16",NULL,"USA","US",NULL,NULL,"male",2020,"Economics","""for improvements to auction theory and inventions of new auction formats""","Stanford University","Stanford CA","USA",83,"Stanford University"
"United Nations",NULL,NULL,NULL,NULL,NULL,NULL,"org",2001,"Peace","""for their work for a better organized and more peaceful world""",NULL,NULL,NULL,NULL,NULL
"Wangari Maathai","1940-04-01","2011-09-25","Kenya","KE","Kenya","KE","female",2004,"Peace","""for her contribution to sustainable development democracy and peace""",NULL,NULL,NULL,64,NULL
"George P. Smith","1941-03-10",NULL,"USA","US",NULL,NULL,"male",2018,"Chemistry","""for the phage display of peptides and antibodies""","University of Missouri","Columbia","USA",77,"University of Missouri"
"M. Stanley Whittingham","1941-12-22",NULL,"United Kingdom","GB",NULL,NULL,"male",2019,"Chemistry","""for the development of lithium-ion batteries""","Binghamton University State University of New York","New York NY","USA",78,"Binghamton University State University of New York"
"Max Planck","1858-04-23","1947-10-04","Schleswig (now Germany)","DE","West Germany (now Germany)","DE","male",1918,"Physics","""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""","Berlin University","Berlin","Germany",60,"Berlin University"
"Johannes Stark","1874-04-15","1957-06-21","Germany","DE","West Germany (now Germany)","DE","male",1919,"Physics","""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""","Greifswald University","Greifswald","Germany",45,"Greifswald University"
"Lev Landau","1908-01-22","1968-04-01","Russian Empire (now Azerbaijan)","AZ","USSR (now Russia)","RU","male",1962,"Physics","""for his pioneering theories for condensed matter especially liquid helium""","Academy of Sciences","Moscow","USSR (now Russia)",54,"Academy of Sciences"
"Rita Levi-Montalcini","1909-04-22","2012-12-30","Italy","IT","Italy","IT","female",1986,"Medicine","""for their discoveries of growth factors""","Institute of Cell Biology of the C.N.R.","Rome","Italy",77,"Institute of Cell Biology of the C.N.R."
"Edward B. Lewis","1918-05-20","2004-07-21","USA","US","USA","US","male",1995,"Medicine","""for their discoveries concerning the genetic control of early embryonic development""","California Institute of Technology (Caltech)","Pasadena CA","USA",77,"California Institute of Technology (Caltech)"
"Robert Woodrow Wilson","1936-01-10",NULL,"USA","US",NULL,NULL,"male",1978,"Physics","""for their discovery of cosmic microwave background radiation""","Bell Laboratories","Holmdel NJ","USA",42,"Bell Laboratories"
"Ernest Rutherford","1871-08-30","1937-10-19","New Zealand","NZ","United Kingdom","GB","male",1908,"Chemistry","""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""","Victoria University","Manchester","United Kingdom",37,"Victoria University"
"Adolf Windaus","1876-12-25","1959-06-09","Germany","DE","West Germany (now Germany)","DE","male",1928,"Chemistry","""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""","Goettingen University","Göttingen","Germany",52,"Goettingen University"
"Irène Joliot-Curie","1897-09-12","1956-03-17","France","FR","France","FR","female",1935,"Chemistry","""in recognition of their synthesis of new radioactive elements""","Institut du Radium","Paris","France",38,"Institut du Radium"
"Linus Pauling","1901-02-28","1994-08-19","USA","US","USA","US","male",1962,"Peace","""for his fight against the nuclear arms race between East and West""","California Institute of Technology (Caltech)","Pasadena CA","USA",61,"California Institute of Technology (Caltech)"
"Geoffrey Wilkinson","1921-07-14","1996-09-26","United Kingdom","GB","United Kingdom","GB","male",1973,"Chemistry","""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""","Imperial College","London","United Kingdom",52,"Imperial College"
"F. Sherwood Rowland","1927-06-28","2012-03-10","USA","US","USA","US","male",1995,"Chemistry","""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""","University of California","Irvine CA","USA",68,"University of California"
"Richard E. Smalley","1943-06-06","2005-10-28","USA","US","USA","US","male",1996,"Chemistry","""for their discovery of fullerenes""","Rice University","Houston TX","USA",53,"Rice University"
"John Macleod","1876-09-06","1935-03-16","Scotland","GB","Scotland","GB","male",1923,"Medicine","""for the discovery of insulin""","University of Toronto","Toronto","Canada",47,"University of Toronto"
"H. Gobind Khorana","1922-01-09","2011-11-09","India","IN","USA","US","male",1968,"Medicine","""for their interpretation of the genetic code and its function in protein synthesis""","University of Wisconsin","Madison WI","USA",46,"University of Wisconsin"
"Svetlana Alexievich","1948-05-31",NULL,"Ukraine","UA",NULL,NULL,"female",2015,"Literature","""for her polyphonic writings a monument to suffering and courage in our time""",NULL,NULL,NULL,67,NULL
"Angus Deaton","1945-10-19",NULL,"Scotland","GB",NULL,NULL,"male",2015,"Economics","""for his analysis of consumption poverty and welfare""","Princeton University","Princeton NJ","USA",70,"Princeton University"
"Harvey Alter","1935-09-12",NULL,"USA","US",NULL,NULL,"male",2020,"Medicine","""for the discovery of Hepatitis C virus""","National Institutes of Health","Bethesda MD","USA",85,"National Institutes of Health"
"Carl Wieman","1951-03-26",NULL,"USA","US",NULL,NULL,"male",2001,"Physics","""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""","University of Colorado JILA","Boulder CO","USA",50,"University of Colorado JILA"
"Christopher A. Sims","1942-10-21",NULL,"USA","US",NULL,NULL,"male",2011,"Economics","""for their empirical research on cause and effect in the macroeconomy""","Princeton University","Princeton NJ","USA",69,"Princeton University"
"Takaaki Kajita","1959-03-09",NULL,"Japan","JP",NULL,NULL,"male",2015,"Physics","""for the discovery of neutrino oscillations which shows that neutrinos have mass""","University of Tokyo","Kashiwa","Japan",56,"University of Tokyo"
"League of Red Cross Societies",NULL,NULL,NULL,NULL,NULL,NULL,"org",1963,"Peace","""for promoting the principles of the Geneva Convention and cooperation with the UN""",NULL,NULL,NULL,NULL,NULL
"Amnesty International",NULL,NULL,NULL,NULL,NULL,NULL,"org",1977,"Peace","""for worldwide respect for human rights""",NULL,NULL,NULL,NULL,NULL
"John Hume","1937-01-18","2020-08-03","Northern Ireland","GB","Northern Ireland","GB","male",1998,"Peace","""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",NULL,NULL,NULL,61,NULL
"Henryk Sienkiewicz","1846-05-05","1916-11-15","Poland","PL","Switzerland","CH","male",1905,"Literature","""because of his outstanding merits as an epic writer""",NULL,NULL,NULL,59,NULL
"Sinclair Lewis","1885-02-07","1951-01-10","USA","US","Italy","IT","male",1930,"Literature","""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters""",NULL,NULL,NULL,45,NULL
"François Mauriac","1885-10-11","1970-09-01","France","FR","France","FR","male",1952,"Literature","""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",NULL,NULL,NULL,67,NULL
"Samuel Beckett","1906-04-13","1989-12-22","Ireland","IE","France","FR","male",1969,"Literature","""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",NULL,NULL,NULL,63,NULL
"Joseph E. Stiglitz","1943-02-09",NULL,"USA","US",NULL,NULL,"male",2001,"Economics","""for their analyses of markets with asymmetric information""","Columbia University","New York NY","USA",58,"Columbia University"
"Frédéric Joliot","1900-03-19","1958-08-14","France","FR","France","FR","male",1935,"Chemistry","""in recognition of their synthesis of new radioactive elements""","Institut du Radium","Paris","France",35,"Institut du Radium"
"Eugenio Montale","1896-10-12","1981-09-12","Italy","IT","Italy","IT","male",1975,"Literature","""for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions""",NULL,NULL,NULL,79,NULL
"Saul Bellow","1915-06-10","2005-04-05","Canada","CA","USA","US","male",1976,"Literature","""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",NULL,NULL,NULL,61,NULL
"José Saramago","1922-11-16","2010-06-18","Portugal","PT","Spain","ES","male",1998,"Literature","""who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality""",NULL,NULL,NULL,76,NULL
"Jan Tinbergen","1903-04-12","1994-06-09","the Netherlands","NL","the Netherlands","NL","male",1969,"Economics","""for having developed and applied dynamic models for the analysis of economic processes""","The Netherlands School of Economics","Rotterdam","the Netherlands",66,"The Netherlands School of Economics"
"Robert M. Solow","1924-08-23",NULL,"USA","US",NULL,NULL,"male",1987,"Economics","""for his contributions to the theory of economic growth""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",63,"Massachusetts Institute of Technology (MIT)"
"Irwin Rose","1926-07-16","2015-06-03","USA","US","USA","US","male",2004,"Chemistry","""for the discovery of ubiquitin-mediated protein degradation""","University of California","Irvine CA","USA",78,"University of California"
"Edward C. Prescott","1940-12-26","2022-11-06","USA","US","USA","US","male",2004,"Economics","""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""","Arizona State University","Tempe AZ","USA",64,"Arizona State University"
"J. Robin Warren","1937-06-11",NULL,"Australia","AU",NULL,NULL,"male",2005,"Medicine","""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",NULL,NULL,NULL,68,NULL
"Mario R. Capecchi","1937-10-06",NULL,"Italy","IT",NULL,NULL,"male",2007,"Medicine","""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""","University of Utah","Salt Lake City UT","USA",70,"University of Utah"
"Oliver E. Williamson","1932-09-27",NULL,"USA","US",NULL,NULL,"male",2009,"Economics","""for his analysis of economic governance especially the boundaries of the firm""","University of California","Berkeley CA","USA",77,"University of California"
"Michael W. Young","1949-03-28",NULL,"USA","US",NULL,NULL,"male",2017,"Medicine","""for their discoveries of molecular mechanisms controlling the circadian rhythm""","Rockefeller University","New York NY","USA",68,"Rockefeller University"
"Peter Handke","1942-12-06",NULL,"Austria","AT",NULL,NULL,"male",2019,"Literature","""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",NULL,NULL,NULL,77,NULL
"Syukuro Manabe","1931-09-21",NULL,"Japan","JP",NULL,NULL,"male",2021,"Physics","""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""","Princeton University","Princeton NJ","USA",90,"Princeton University"
"Frederick Reines","1918-03-16","1998-08-26","USA","US","USA","US","male",1995,"Physics","""for the detection of the neutrino""","University of California","Irvine CA","USA",77,"University of California"
"Pieter Zeeman","1865-05-25","1943-10-09","the Netherlands","NL","the Netherlands","NL","male",1902,"Physics","""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""","Amsterdam University","Amsterdam","the Netherlands",37,"Amsterdam University"
"Charles Glover Barkla","1877-06-07","1944-10-23","United Kingdom","GB","Scotland","GB","male",1917,"Physics","""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""","Edinburgh University","Edinburgh","United Kingdom",40,"Edinburgh University"
"Sir Chandrasekhara Venkata Raman","1888-11-07","1970-11-21","India","IN","India","IN","male",1930,"Physics","""for his work on the scattering of light and for the discovery of the effect named after him""","Calcutta University","Calcutta","India",42,"Calcutta University"
"Antony Hewish","1924-05-11","2021-09-13","United Kingdom","GB",NULL,NULL,"male",1974,"Physics","""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""","University of Cambridge","Cambridge","United Kingdom",50,"University of Cambridge"
"Luis Leloir","1906-09-06","1987-12-02","France","FR","Argentina","AR","male",1970,"Chemistry","""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""","Institute for Biochemical Research","Buenos Aires","Argentina",64,"Institute for Biochemical Research"
"Robert F. Curl Jr.","1933-08-23","2022-07-03","USA","US","USA","US","male",1996,"Chemistry","""for their discovery of fullerenes""","Rice University","Houston TX","USA",63,"Rice University"
"Corneille Heymans","1892-03-28","1968-07-18","Belgium","BE","Belgium","BE","male",1938,"Medicine","""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""","Ghent University","Ghent","Belgium",46,"Ghent University"
"Egas Moniz","1874-11-29","1955-12-13","Portugal","PT","Portugal","PT","male",1949,"Medicine","""for his discovery of the therapeutic value of leucotomy in certain psychoses""","University of Lisbon","Lisbon","Portugal",75,"University of Lisbon"
"Keffer Hartline","1903-12-22","1983-03-17","USA","US","USA","US","male",1967,"Medicine","""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Rockefeller University","New York NY","USA",64,"Rockefeller University"
"Eric F. Wieschaus","1947-06-08",NULL,"USA","US",NULL,NULL,"male",1995,"Medicine","""for their discoveries concerning the genetic control of early embryonic development""","Princeton University","Princeton NJ","USA",48,"Princeton University"
"Institute of International Law",NULL,NULL,NULL,NULL,NULL,NULL,"org",1904,"Peace","""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",NULL,NULL,NULL,NULL,NULL
"William P. Murphy","1892-02-06","1987-10-09","USA","US","USA","US","male",1934,"Medicine","""for their discoveries concerning liver therapy in cases of anaemia""","Harvard University","Cambridge MA","USA",42,"Harvard University"
"William F. Sharpe","1934-06-16",NULL,"USA","US",NULL,NULL,"male",1990,"Economics","""for their pioneering work in the theory of financial economics""","Stanford University","Stanford CA","USA",56,"Stanford University"
"Rudolf Mössbauer","1929-01-31","2011-09-14","Germany","DE",NULL,NULL,"male",1961,"Physics","""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""","Technical University","Munich","Germany",32,"Technical University of Munich"
"Harold E. Varmus","1939-12-18",NULL,"USA","US",NULL,NULL,"male",1989,"Medicine","""for their discovery of the cellular origin of retroviral oncogenes""","University of California School of Medicine","San Francisco CA","USA",50,"University of California"
"Brian Kobilka","1955-05-30",NULL,"USA","US",NULL,NULL,"male",2012,"Chemistry","""for studies of G-protein-coupled receptors""","Stanford University School of Medicine","Stanford CA","USA",57,"Stanford University"
"Nathan Söderblom","1866-01-15","1931-07-12","Sweden","SE","Sweden","SE","male",1930,"Peace","""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",NULL,NULL,NULL,64,NULL
"Lhamo Thondup","1935-07-06",NULL,"Tibet (now China)","CN",NULL,NULL,"male",1989,"Peace","""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",NULL,NULL,NULL,54,NULL
"Rigoberta Menchú Tum","1959-01-09",NULL,"Guatemala","GT",NULL,NULL,"female",1992,"Peace","""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",NULL,NULL,NULL,33,NULL
"Barry Sharpless","1941-04-28",NULL,"USA","US",NULL,NULL,"male",2022,"Chemistry","""for the development of click chemistry and bioorthogonal chemistry""","Scripps Research","La Jolla CA","USA",81,"Scripps Research"
"Theodor Mommsen","1817-11-30","1903-11-01","Schleswig (now Germany)","DE","Germany","DE","male",1902,"Literature","""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",NULL,NULL,NULL,85,NULL
"Carl Spitteler","1845-04-24","1924-12-29","Switzerland","CH","Switzerland","CH","male",1919,"Literature","""in special appreciation of his epic <I>Olympian Spring</I>""",NULL,NULL,NULL,74,NULL
"Alexandr Solzhenitsyn","1918-12-11","2008-08-03","Russia","RU","Russia","RU","male",1970,"Literature","""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",NULL,NULL,NULL,52,NULL
"Eyvind Johnson","1900-07-29","1976-08-25","Sweden","SE","Sweden","SE","male",1974,"Literature","""for a narrative art far-seeing in lands and ages in the service of freedom""",NULL,NULL,NULL,74,NULL
"Sir Cyril Hinshelwood","1897-05-19","1967-10-09","United Kingdom","GB","United Kingdom","GB","male",1956,"Chemistry","""for their researches into the mechanism of chemical reactions""","University of Oxford","Oxford","United Kingdom",59,"University of Oxford"
"Max F. Perutz","1914-05-19","2002-02-06","Austria","AT","United Kingdom","GB","male",1962,"Chemistry","""for their studies of the structures of globular proteins""","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom",48,"MRC Laboratory of Molecular Biology"
"Ivan Pavlov","1849-09-14","1936-02-27","Russia","RU","Russia","RU","male",1904,"Medicine","""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""","Military Medical Academy","St. Petersburg","Russia",55,"Military Medical Academy"
"Archibald V. Hill","1886-09-26","1977-06-03","United Kingdom","GB","United Kingdom","GB","male",1922,"Medicine","""for his discovery relating to the production of heat in the muscle""","London University","London","United Kingdom",36,"London University"
"George H. Whipple","1878-08-28","1976-02-01","USA","US","USA","US","male",1934,"Medicine","""for their discoveries concerning liver therapy in cases of anaemia""","University of Rochester","Rochester NY","USA",56,"University of Rochester"
"Sir John Eccles","1903-01-27","1997-05-02","Australia","AU","Switzerland","CH","male",1963,"Medicine","""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""","Australian National University","Canberra","Australia",60,"Australian National University"
"Juan Manuel Santos","1951-08-10",NULL,"Colombia","CO",NULL,NULL,"male",2016,"Peace","""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",NULL,NULL,NULL,65,NULL
"Richard H. Thaler","1945-09-12",NULL,"USA","US",NULL,NULL,"male",2017,"Economics","""for his contributions to behavioural economics""","University of Chicago","Chicago IL","USA",72,"University of Chicago"
"Esther Duflo","1972-10-25",NULL,"France","FR",NULL,NULL,"female",2019,"Economics","""for their experimental approach to alleviating global poverty""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",47,"Massachusetts Institute of Technology (MIT)"
"Center for Civil Liberties",NULL,NULL,NULL,NULL,NULL,NULL,"org",2022,"Peace","""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",NULL,NULL,NULL,NULL,NULL
"Makoto Kobayashi","1944-04-07",NULL,"Japan","JP",NULL,NULL,"male",2008,"Physics","""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""","High Energy Accelerator Research Organization (KEK)","Tsukuba","Japan",64,"High Energy Accelerator Research Organization (KEK)"
"J. Georg Bednorz","1950-05-16",NULL,"West Germany (now Germany)","DE",NULL,NULL,"male",1987,"Physics","""for their important break-through in the discovery of superconductivity in ceramic materials""","IBM Zurich Research Laboratory","Rüschlikon","Switzerland",37,"IBM Zurich Research Laboratory"
"Victor Grignard","1871-05-06","1935-12-13","France","FR","France","FR","male",1912,"Chemistry","""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""","Nancy University","Nancy","France",41,"Nancy University"
"George de Hevesy","1885-08-01","1966-07-05","Austria-Hungary (now Hungary)","HU","West Germany (now Germany)","DE","male",1943,"Chemistry","""for his work on the use of isotopes as tracers in the study of chemical processes""","Stockholm University","Stockholm","Sweden",58,"Stockholm University"
"International Committee of the Red Cross",NULL,NULL,NULL,NULL,NULL,NULL,"org",1963,"Peace","""for promoting the principles of the Geneva Convention and cooperation with the UN""",NULL,NULL,NULL,NULL,NULL
"Charles G. Dawes","1865-08-27","1951-04-23","USA","US","USA","US","male",1925,"Peace","""for his crucial role in bringing about the Dawes Plan""",NULL,NULL,NULL,60,NULL
"Henry Kissinger","1923-05-27",NULL,"Germany","DE",NULL,NULL,"male",1973,"Peace","""for jointly having negotiated a cease fire in Vietnam in 1973""",NULL,NULL,NULL,50,NULL
"Selma Lagerlöf","1858-11-20","1940-03-16","Sweden","SE","Sweden","SE","female",1909,"Literature","""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",NULL,NULL,NULL,51,NULL
"Frans Eemil Sillanpää","1888-09-16","1964-06-03","Russian Empire (now Finland)","FI","Finland","FI","male",1939,"Literature","""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",NULL,NULL,NULL,51,NULL
"Robert Mundell","1932-10-24","2021-04-04","Canada","CA","Italy","IT","male",1999,"Economics","""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""","Columbia University","New York NY","USA",67,"Columbia University"
"Benjamin List","1968-01-11",NULL,"Germany","DE",NULL,NULL,"male",2021,"Chemistry","""for the development of asymmetric organocatalysis""","Max-Planck-Institut für Kohlenforschung","Mülheim an der Ruhr","Germany",53,"Max Planck Society"
"Claude Simon","1913-10-10","2005-07-06","Madagascar","MG","France","FR","male",1985,"Literature","""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",NULL,NULL,NULL,72,NULL
"Pierre Curie","1859-05-15","1906-04-19","France","FR","France","FR","male",1903,"Physics","""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""","École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry)","Paris","France",44,"École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry)"
"Manne Siegbahn","1886-12-03","1978-09-26","Sweden","SE","Sweden","SE","male",1924,"Physics","""for his discoveries and research in the field of X-ray spectroscopy""","Uppsala University","Uppsala","Sweden",38,"Uppsala University"
"Gustav Hertz","1887-07-22","1975-10-30","Germany","DE","East Germany (now Germany)","DE","male",1925,"Physics","""for their discovery of the laws governing the impact of an electron upon an atom""","Halle University","Halle","Germany",38,"Halle University"
"Leon N. Cooper","1930-02-28",NULL,"USA","US",NULL,NULL,"male",1972,"Physics","""for their jointly developed theory of superconductivity usually called the BCS-theory""","Brown University","Providence RI","USA",42,"Brown University"
"Sir James W. Black","1924-06-14","2010-03-21","Scotland","GB",NULL,NULL,"male",1988,"Medicine","""for their discoveries of important principles for drug treatment""","London University King's College Hospital Medical School","London","United Kingdom",64,"London University King's College Hospital Medical School"
"Victor F. Hess","1883-06-24","1964-12-17","Austria","AT","USA","US","male",1936,"Physics","""for his discovery of cosmic radiation""","Innsbruck University","Innsbruck","Austria",53,"Innsbruck University"
"Intergovernmental Panel on Climate Change",NULL,NULL,NULL,NULL,NULL,NULL,"org",2007,"Peace","""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",NULL,NULL,NULL,NULL,NULL
"Carlo Rubbia","1934-03-31",NULL,"Italy","IT",NULL,NULL,"male",1984,"Physics","""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""","CERN","Geneva","Switzerland",50,"CERN"
"Bertram N. Brockhouse","1918-07-15","2003-10-13","Canada","CA","Canada","CA","male",1994,"Physics","""for the development of neutron spectroscopy""","McMaster University","Hamilton Ontario","Canada",76,"McMaster University"
"Alfred Werner","1866-12-12","1919-11-15","France","FR","Switzerland","CH","male",1913,"Chemistry","""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""","University of Zurich","Zurich","Switzerland",47,"University of Zurich"
"Leopold Ruzicka","1887-09-13","1976-09-26","Austria-Hungary (now Croatia)","HR","Switzerland","CH","male",1939,"Chemistry","""for his work on polymethylenes and higher terpenes""","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Zurich","Switzerland",52,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)"
"Randy W. Schekman","1948-12-30",NULL,"USA","US",NULL,NULL,"male",2013,"Medicine","""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""","University of California","Berkeley CA","USA",65,"University of California"
"Linus Pauling","1901-02-28","1994-08-19","USA","US","USA","US","male",1954,"Chemistry","""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""","California Institute of Technology (Caltech)","Pasadena CA","USA",53,"California Institute of Technology (Caltech)"
"Derek Barton","1918-09-08","1998-03-16","United Kingdom","GB","USA","US","male",1969,"Chemistry","""for their contributions to the development of the concept of conformation and its application in chemistry""","Imperial College","London","United Kingdom",51,"Imperial College"
"Donald J. Cram","1919-04-22","2001-06-17","USA","US","USA","US","male",1987,"Chemistry","""for their development and use of molecules with structure-specific interactions of high selectivity""","University of California","Los Angeles CA","USA",68,"University of California"
"Santiago Ramón y Cajal","1852-05-01","1934-10-17","Spain","ES","Spain","ES","male",1906,"Medicine","""in recognition of their work on the structure of the nervous system""","Madrid University","Madrid","Spain",54,"Madrid University"
"Christiaan Eijkman","1858-08-11","1930-11-05","the Netherlands","NL","the Netherlands","NL","male",1929,"Medicine","""for his discovery of the antineuritic vitamin""","Utrecht University","Utrecht","the Netherlands",71,"Utrecht University"
"Albert Szent-Györgyi","1893-09-16","1986-10-22","Austria-Hungary (now Hungary)","HU","USA","US","male",1937,"Medicine","""for his discoveries in connection with the biological combustion processes with special reference to vitamin C and the catalysis of fumaric acid""","Szeged University","Szeged","Hungary",44,"Szeged University"
"Francis Crick","1916-06-08","2004-07-28","United Kingdom","GB","USA","US","male",1962,"Medicine","""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom",46,"MRC Laboratory of Molecular Biology"
"Jacques Monod","1910-02-09","1976-05-31","France","FR","France","FR","male",1965,"Medicine","""for their discoveries concerning genetic control of enzyme and virus synthesis""","Institut Pasteur","Paris","France",55,"Institut Pasteur"
"Jacques Dubochet","1942-06-08",NULL,"Switzerland","CH",NULL,NULL,"male",2017,"Chemistry","""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""","University of Lausanne","Lausanne","Switzerland",75,"University of Lausanne"
"Richard Willstätter","1872-08-13","1942-08-03","Germany","DE","Switzerland","CH","male",1915,"Chemistry","""for his researches on plant pigments especially chlorophyll""","Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie","Berlin-Dahlem","Germany",43,"Max Planck Society"
"Michael Levitt","1947-05-09",NULL,"South Africa","ZA",NULL,NULL,"male",2013,"Chemistry","""for the development of multiscale models for complex chemical systems""","Stanford University School of Medicine","Stanford CA","USA",66,"Stanford University"
"James Tobin","1918-03-05","2002-03-11","USA","US","USA","US","male",1981,"Economics","""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""","Yale University","New Haven CT","USA",63,"Yale University"
"William D. Nordhaus","1941-05-31",NULL,"USA","US",NULL,NULL,"male",2018,"Economics","""for integrating climate change into long-run macroeconomic analysis""","Yale University","New Haven CT","USA",77,"Yale University"
"Bruce A. Beutler","1957-12-29",NULL,"USA","US",NULL,NULL,"male",2011,"Medicine","""for their discoveries concerning the activation of innate immunity""","University of Texas Southwestern Medical Center at Dallas","Dallas TX","USA",54,"University of Texas"
"Ralph M. Steinman","1943-01-14","2011-09-30","Canada","CA","USA","US","male",2011,"Medicine","""for his discovery of the dendritic cell and its role in adaptive immunity""","Rockefeller University","New York NY","USA",68,"Rockefeller University"
"Bob Dylan","1941-05-24",NULL,"USA","US",NULL,NULL,"male",2016,"Literature","""for having created new poetic expressions within the great American song tradition""",NULL,NULL,NULL,75,NULL
